"Reference","Qty","Value","Footprint","Mouser Part Number"
"U301","1","TMUX6236","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","595-TMUX6236PWR"
"U401","1","THAT2162","Package_SO:QSOP-16_3.9x4.9mm_P0.635mm","887-2162Q16-U"
"U304","1","THAT1646","Package_SO:SO-8_3.9x4.9mm_P1.27mm","887-1646S08-U"
"U303","1","THAT1512","Package_SO:SO-8_3.9x4.9mm_P1.27mm","887-1512S08-U"
"SW301,SW302","2","SW_SPST","STEVEannouncer:SW_choc_v1_1u","540-MX1A-C1NN"
"B401,B402","2","Plastic Nut","","550-1005"
"U302,U402","2","OPA1678","STEVEannouncer:WSON-8-1EP_3x3mm_P0.5mm_EP1.2x2mm_ThermalVias","595-OPA1678IDRGR"
"U403","1","OPA1622","STEVEannouncer:OPA1622","595-OPA1622IDRCT"
"J406,J407","2","NRJ6HF","STEVEannouncer:NRJ6HF","550-20311"
"J301,J401","2","NC3FAH2","STEVEannouncer:NC3FAH2",""
"J306,J307","2","NC3MAH","STEVEannouncer:NC3MAH",""
"U201,U202","2","LV3842","STEVEannouncer:SOT-23-6","595-LV3842XDBVR"
"D204","1","LED","LED_SMD:LED_0603_1608Metric",""
"FB301,FB302,FB303,FB304,FB401,FB402","6","FerriteBead","Inductor_SMD:L_0402_1005Metric","673-BBSY100505700Y00"
"D201,D302,D303","3","DFLZ5V6","Diode_SMD:D_PowerDI-123","621-DFLZ5V6-7"
"D202,D203,D306","3","D_Schottky","Diode_SMD:D_SOD-523","755-RB510SM-40T2R"
"J402,J403,J404,J405","4","Conn_01x03","Connector_JST:JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical","306-B3BPHSM4TBLFSN"
"J302,J303,J304,J305","4","Conn_01x02","Connector_JST:JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical","306-B2BPHSM4TBLFSN"
"Q202","1","BCV49","Package_TO_SOT_SMD:SOT-89-3","771-BCV49135"
"Q201","1","BC847","Package_TO_SOT_SMD:SOT-523","621-BC847CT-7-F"
"D301,D307,D308","3","BAS3007ARPPE6327HTSA1","Package_TO_SOT_SMD:SOT-143","726-BAS3007A-RPPE6"
"D304,D305,D401,D402,D403,D404,D405","7","BAS716","Diode_SMD:D_SOD-523","771-BAS716-T/R"
"J201","1","Barrel_Jack_Switch","STEVEannouncer:Barrel Jack","502-L721RALP"
"C201,C401,C402,C409","4","1u/50V","Capacitor_SMD:C_0402_1005Metric","81-GRM155R61H105KE5D"
"R202,R309,R310,R405,R406","5","330k","Resistor_SMD:R_0402_1005Metric",""
"R207,R208,R407,R408,R409","5","80.6k","Resistor_SMD:R_0402_1005Metric",""
"R203,R205,R206,R305,R307,R308,R311,R312,R313,R314,R401,R402,R411,R412","14","20k","Resistor_SMD:R_0402_1005Metric",""
"RV401,RV402","2","10k","STEVEannouncer:Pot","858-P160KN0QD15B10K"
"R410","1","10k","Resistor_SMD:R_0402_1005Metric",""
"R403,R404","2","6.8k","Resistor_SMD:R_0402_1005Metric",""
"R209,R303,R304,R315,R316,R317,R318","7","1k","Resistor_SMD:R_0402_1005Metric",""
"R306","1","270","Resistor_SMD:R_0402_1005Metric",""
"R319,R320","2","100","Resistor_SMD:R_0402_1005Metric",""
"R204,R301,R302","3","10","Resistor_SMD:R_1206_3216Metric",""
"R201,R413","2","1Meg","Resistor_SMD:R_0402_1005Metric",""
"C202","1","1000u","Capacitor_SMD:CP_Elec_16x17.5","667-EEV-FK1H102M"
"C307","1","100u","Capacitor_SMD:C_1206_3216Metric","81-GRM31CR60J107KE8L"
"C305,C306","2","22u","Capacitor_SMD:CP_Elec_6.3x7.7","647-UCD1J220MCL1GS"
"C207,C208","2","22u","Capacitor_SMD:C_1206_3216Metric","791-1206X226K100CT"
"L201,L202","2","18u","STEVEannouncer:Inductor 3012","652-SRN3015BTA-180M"
"C316,C317","2","10u","Capacitor_SMD:C_0603_1608Metric","187-CL10A106KP8NNWC"
"C203,C204","2","2.2u","Capacitor_SMD:C_0603_1608Metric","81-GRT188R61H225KE3D"
"C205,C206,C209,C301,C308,C309,C310,C311,C312,C313,C314,C315,C322,C323,C324,C405,C406,C410,C411,C412,C413,C414,C415","23","100n","Capacitor_SMD:C_0402_1005Metric","81-GRM155R62A104KE4D"
"C303,C304","2","470p","Capacitor_SMD:C_0402_1005Metric",""
"C302,C318,C319,C320,C321,C403,C404,C407,C408,C416,C417","11","100p","Capacitor_SMD:C_0402_1005Metric",""
